pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
0x5a74ea01e29115bdd633ed7559802ddbdcc600ba22a778b6d200893c2e7a2690,"BSW / USAD",uniswap-v4-base,,lydia-coin,BSW,4969548,below,min_cap_of_two:gt_fdv,216603480,5821826235
0x6c561b446416e1a00e8e93e221854d6ea4171372,"WETH / USDC 0.3%",uniswap-v3-base,weth,usd-coin,,,above,both_quote,117014743,2296330208
0x7c7420dd105e2779316423ba3e973f434315efa9,"cbBTC / WETH 0.009%",aerodrome-slipstream-3,coinbase-wrapped-btc,weth,,,above,both_quote,53781986,907008802
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,"WETH / USDC 0.01%",pancakeswap-v3-base,weth,usd-coin,,,above,both_quote,50892717,1544763870
0x3fe04a59ebd38cf06080a6f60a98d124eb59392a,"WETH / USDC 0.05%",aerodrome-slipstream-3,weth,usd-coin,,,above,both_quote,47693148,1573516645
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,"cbBTC / WETH 0.01%",pancakeswap-v3-base,coinbase-wrapped-btc,weth,,,above,both_quote,45735541,1379346649
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,"cbBTC / WETH 0.05%",aerodrome-slipstream-3,coinbase-wrapped-btc,weth,,,above,both_quote,40227809,1811428155
0x2900de3d99a53a64be978219acbd8336c320aa30,"LONG / USDC",aerodrome-slipstream-3,,usd-coin,LONG,10124043,below,single_subject:gt_fdv,36595663,0
0x160d7e9d948b16c163332a277b393c288408eb12,"cbBTC / USDC 0.05%",aerodrome-slipstream-3,coinbase-wrapped-btc,usd-coin,,,above,both_quote,34427057,1121183604
0x7aea2e8a3843516afa07293a10ac8e49906dabd1,"cbBTC / WETH 0.05%",uniswap-v3-base,coinbase-wrapped-btc,weth,,,above,both_quote,32908370,778283653
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,"WETH / USDC 0.05%",aerodrome-slipstream,weth,usd-coin,,,above,both_quote,25088992,938440628
0xd0b53d9277642d899df5c87a3966a349a798f224,"USDC / WETH 0.05%",uniswap-v3-base,usd-coin,weth,,,above,both_quote,24254205,516949705
0x5d4ac72603db9679d2a3fdb0a16f8436436b6c5b,"COOL / USDC",aerodrome-slipstream-3,,usd-coin,COOL,3149131,below,single_subject:gt_fdv,17439643,0
0x4e962bb3889bf030368f56810a9c96b83cb3e778,"cbBTC / USDC 0.05%",aerodrome-slipstream,coinbase-wrapped-btc,usd-coin,,,above,both_quote,14778250,638559630
0x36798fb83a9de1994e01274ad4ad1d07ccb44762,"TOLLY / USDC",aerodrome-slipstream-3,,usd-coin,TOLLY,10096627,below,single_subject:gt_fdv,14590923,0
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,"USDT / USDC 0.01%",aerodrome-slipstream,l2-standard-bridged-usdt-base,usd-coin,l2-standard-bridged-usdt-base,25850784,below,single_subject:cg_mcap,14145791,200747699
0xfbb6eed8e7aa03b138556eedaf5d271a5e1e43ef,"cbBTC / USDC 0.05%",uniswap-v3-base,coinbase-wrapped-btc,usd-coin,,,above,both_quote,11830713,295300344
0xeaf57753bc382e0324a1d43f72e7027705a2273e,"METAc / USDC 0.179%",aerodrome-slipstream-3,meta-coinbase-tokenized-stock,usd-coin,meta-coinbase-tokenized-stock,1556413,below,single_subject:cg_mcap,9801683,111981585
0x843fc501199f40dae9372bc3b2c23276d4a8f9a8,"POOLS / USDC",aerodrome-slipstream-3,,usd-coin,POOLS,10015545,below,single_subject:gt_fdv,9151416,0
0x9785ef59e2b499fb741674ecf6faf912df7b3c1b,"USDT / WETH 0.05%",aerodrome-slipstream,l2-standard-bridged-usdt-base,weth,l2-standard-bridged-usdt-base,25850784,below,single_subject:cg_mcap,9002492,170542561
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,"cbBTC / USDC 0.01%",pancakeswap-v3-base,coinbase-wrapped-btc,usd-coin,,,above,both_quote,8503329,322380281
0x853f5f1b92b16714fe6cda67caad0856b83c7ab9,"NVDAc / USDC 0.187%",aerodrome-slipstream-3,nvidia-coinbase-tokenized-stock,usd-coin,nvidia-coinbase-tokenized-stock,4216517,below,single_subject:cg_mcap,7803283,169720888
0x3e66e55e97ce60096f74b7c475e8249f2d31a9fb,"USDC / cbBTC 1%",aerodrome-slipstream,usd-coin,coinbase-wrapped-btc,,,above,both_quote,7543273,199989770
0xa3b1e3f9747065e2073722ff4c9027d3ea4994f0,"AAPL / USDC 0.147%",aerodrome-slipstream-3,apple-coinbase-tokenized-stock,usd-coin,apple-coinbase-tokenized-stock,1974738,below,single_subject:cg_mcap,7041655,104634942
0xb1987cad1682841b4b641d50e520777ec5ab5542,"GOOGLc / USDC 0.05%",aerodrome-slipstream-3,alphabet-coinbase-tokenized-stock,usd-coin,alphabet-coinbase-tokenized-stock,2083769,below,single_subject:cg_mcap,7016770,103849619
