pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
0x44b13bfe9d340e630b3955ae43bf695ddbfd44de,"NSL / WBNB",pancakeswap_v2,,wbnb,NSL,,unknown,not_on_coingecko,347258509,0
0xa84952ca03ba2cfacd629a3a59054774c0fefc27,"SOWL / WBNB",pancakeswap_v2,,wbnb,SOWL,,unknown,gt_fdv_only_above_threshold,346963854,0
0xa7b4b8f83794abafbdbd5fdef286f2d1c5d61682,"果蝇 / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,果蝇,0,below,min_cap_of_two:gt_fdv,279912034,0
0x104f82163d4e6d3dc41640ade5f4528fc034040e,"永生果蝇 / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,永生果蝇,0,below,min_cap_of_two:gt_fdv,255190544,0
0x9270f73ed9919ac8e8573aa6d7e6dfdd41d69260,"永生果蝇 / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,永生果蝇,0,below,min_cap_of_two:gt_fdv,254789233,0
0x11ac3485fdd24322a56df86970d88a9c4dbad321,"果蝇 / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,果蝇,0,below,min_cap_of_two:gt_fdv,239822043,0
0xc98bf53ec0c86ebfe5b5ac12ad3b0658c244e2d6,"永生果蝇 / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,永生果蝇,0,below,min_cap_of_two:gt_fdv,225036476,0
0xd2727e3fdfbe45da9da9d14257913234c19dce87,"NECTAR / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,NECTAR,0,below,min_cap_of_two:gt_fdv,217764424,0
0x235230d6c707e332029d1f178d14853347793be6,"STANDARD / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,STANDARD,0,below,min_cap_of_two:gt_fdv,208537171,0
0xe818db46e79d891af00ffe99b45aaca444a7c87e,"果蝇 / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,果蝇,49519352,below,min_cap_of_two:gt_fdv,207868730,0
0x0a382cea6350bb827598c294f8c2d5facb87f551,"不朽果蝇 / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,不朽果蝇,0,below,min_cap_of_two:gt_fdv,204662748,0
0xbba75b3183d40b8c3691ccaa05f58999dc476f7e,"IFF / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,IFF,0,below,min_cap_of_two:gt_fdv,203151993,0
0x171854e7138b5a32e99b8388e8c9983dd167f8e1,"BRAIN / USDT",pancakeswap_v2,,binance-bridged-usdt-bnb-smart-chain,BRAIN,0,below,min_cap_of_two:gt_fdv,202841810,0
