pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
0x6c9a33e3b592c0d65b3ba59355d5be0d38259285,"USDC / WHYPE 0.05%",project-x,usd-coin,wrapped-hype,,,above,both_quote,20963592,2327541956
0x5a177cf0effb7e0e7115d792e587c1a5a9cbc9d4,"USDC / WHYPE 0.24%",ramses-v3-hyperevm,usd-coin,wrapped-hype,,,above,both_quote,3346809,144422264
0xbe512f5881b85c48d9c17bc5bb2be047d156d696,"USDC / WHYPE 0.102%",nest,usd-coin,wrapped-hype,,,above,both_quote,2617267,238843176
0x422e586c906eb241f784b4f5a633c2c7e59a2f54,"USDC / WHYPE 0.3%",project-x,usd-coin,wrapped-hype,,,above,both_quote,2205000,171758227
0x46abbdfc675ffa9ddf032c64fee363745204e63e,"USDC / USD₮0 0.002%",ramses-v3-hyperevm,usd-coin,usdt0,usdt0,183477468506,above,single_subject:cg_mcap,1984471,119099046
0x0185e8e8b7fdf22638ecb2d781b3ea7e8aa2452a,"fwWHYPE / fwUETH",ring-exchange-hyperevm,wrapped-hype,unit-ethereum,,,above,both_quote,1512362,109182280
0x87a84e05cb7c4ef585152190525367ab4d111b87,"MAX / WHYPE",hyperswap-v2,,wrapped-hype,MAX,67980,below,single_subject:gt_fdv,1266010,2571863
0xa83d60b1a9ca6dd1d0d2d9275c700114f2f3a8d6,"kHYPE / WHYPE 0.01%",nest,kinetic-staked-hype,wrapped-hype,,,above,both_quote,1202317,42265044
0x0d6ecb912b6ee160e95bc198b618acc1bcb92525,"UBTC / WHYPE 0.3%",project-x,unit-bitcoin,wrapped-hype,,,above,both_quote,1191126,88039928
0xbd19e19e4b70eb7f248695a42208bc1edbbfb57d,"USD₮0 / WHYPE 0.05%",project-x,usdt0,wrapped-hype,usdt0,183477468506,above,single_subject:cg_mcap,807964,76862703
0x78cc152a531dbde2f3fe7001ad659fa120fa893b,"UPUMP / WHYPE 0.3%",project-x,unit-pump,wrapped-hype,unit-pump,1709032873,above,single_subject:cg_mcap,724593,39526663
0xbe352daf66af94ccf2012a154a67daef95facb91,"kHYPE / WHYPE 0.01%",project-x,kinetic-staked-hype,wrapped-hype,,,above,both_quote,718786,39480736
0x3a36b04bcc1d5e2e303981ef643d2668e00b43e7,"UBTC / WHYPE 0.3%",hyperswap-v3,unit-bitcoin,wrapped-hype,,,above,both_quote,673065,55535700
0x705d5dda03d170384eb43eb1aa692a6fc548306f,"kHYPE / WHYPE 0.008%",ramses-v3-hyperevm,kinetic-staked-hype,wrapped-hype,,,above,both_quote,669540,94467768
0x12df9913e9e08453440e3c4b1ae73819160b513e,"USDC / WHYPE 0.05%",kittenswap-algebra,usd-coin,wrapped-hype,,,above,both_quote,629367,42875411
0x613bc619741354a6171692b04228c9640373e54b,"USDC / USD₮0 0.002%",nest,usd-coin,usdt0,usdt0,183477468506,above,single_subject:cg_mcap,625343,66579511
0x043538c4d9df365833b741ba2a3555787de947d3,"UPUMP / USD₮0 0.3%",project-x,unit-pump,usdt0,unit-pump,1709032873,above,min_cap_of_two:cg_mcap,556476,9211718
0xcd238eafadb112515910f8d09d94a90ac8c180fe,"UBTC / WHYPE 0.201%",nest,unit-bitcoin,wrapped-hype,,,above,both_quote,497765,41936263
0x0d3e8f6949dcaca02cbd1aaf7ca840f4f36216b7,"USDC / UETH 0.19%",ramses-v3-hyperevm,usd-coin,unit-ethereum,,,above,both_quote,464747,30355164
0x337b56d87a6185cd46af3ac2cdf03cbc37070c30,"USD₮0 / WHYPE 0.05%",hyperswap-v3,usdt0,wrapped-hype,usdt0,183477468506,above,single_subject:cg_mcap,454031,43440988
0x5a77b0d96ad87defee407ed5244c942ff7fc5779,"JOFF / WHYPE",hyperswap-v2,chomolon-joff,wrapped-hype,chomolon-joff,18401176,below,single_subject:cg_mcap,416216,7179665
0x5cf5f3c4c63f676707336a7bf1267da762204860,"SIGNAL / WHYPE 1%",project-x,signal-2,wrapped-hype,signal-2,2140968,below,single_subject:cg_fdv,392950,8545041
0x20e6e73c91a29d21bde672562a4b16649d66623e,"USD₮0 / WHYPE 0.03%",nest,usdt0,wrapped-hype,usdt0,183477468506,above,single_subject:cg_mcap,346274,26921061
0x21092837c89a1858aa7e6631fcf77a5f12c10218,"UBTC / UETH 0.11%",ramses-v3-hyperevm,unit-bitcoin,unit-ethereum,,,above,both_quote,311374,22355920
0xaf80230eb13222db743c21762f65a046bb5f5437,"UETH / WHYPE 0.3%",project-x,unit-ethereum,wrapped-hype,,,above,both_quote,272703,36000806
0x8326507ed1195b00ee36b585c8f085a279df96a1,"UBTC / WHYPE 0.22%",ramses-v3-hyperevm,unit-bitcoin,wrapped-hype,,,above,both_quote,265957,4670554
0xc22fad66665343d385608cc45d2e1484f9ba8d6b,"USD₮0 / WHYPE 0.3%",hybra-finance-v4,usdt0,wrapped-hype,usdt0,183477468506,above,single_subject:cg_mcap,258124,10873769
0x7319ac5bb90164191bd236c16000fa3f1c29e456,"USDC / USD₮0 0.013%",hybra-finance-v4,usd-coin,usdt0,usdt0,183477468506,above,single_subject:cg_mcap,237616,12472459
0xfd0cb41a4a28b5ca13affe65cd5924f461b3c850,"UBTC / USD₮0 0.05%",project-x,unit-bitcoin,usdt0,usdt0,183477468506,above,single_subject:cg_mcap,212379,16048154
0xee02e3a3034e9ef3bd569b140bc9911fcf1ba067,"USD₮0 / WHYPE 0.24%",ramses-v3-hyperevm,usdt0,wrapped-hype,usdt0,183477468506,above,single_subject:cg_mcap,181616,10897550
0xe712d505572b3f84c1b4deb99e1beab9dd0e23c9,"USDC / WHYPE 0.3%",hyperswap-v3,usd-coin,wrapped-hype,,,above,both_quote,165374,15861884
0xe5b51f0519819e609447ab1239cf7d4324c76ceb,"UETH / WHYPE 0.25%",ramses-v3-hyperevm,unit-ethereum,wrapped-hype,,,above,both_quote,163547,14060513
0x998007a512531d9081e116f85605c40d41abd4f1,"UETH / WHYPE 0.15%",nest,unit-ethereum,wrapped-hype,,,above,both_quote,135763,14059429
0x603aa1d875ab6274a4f8e4d15eb0e7521e4cd777,"UPUMP / WHYPE 0.15%",hypertrade,unit-pump,wrapped-hype,unit-pump,1709032873,above,single_subject:cg_mcap,104133,5063522
0x709ca66bf2e0f76fc957d88dc0f34d3662ab2754,"UPUMP / WHYPE 0.43%",ramses-v3-hyperevm,unit-pump,wrapped-hype,unit-pump,1709032873,above,single_subject:cg_mcap,93496,1303364
0xf02659611436515910f0b1d98a0f38972a209958,"HYPE5L / USDC 1%",project-x,,usd-coin,HYPE5L,14235,below,single_subject:gt_fdv,82575,1371271
0x05f8f06cb64ebdd332226c9c3586e1f2d4efbb2a,"UPUMP / USDC 0.33%",ramses-v3-hyperevm,unit-pump,usd-coin,unit-pump,1709032873,above,single_subject:cg_mcap,74457,1140137
0x94291bea4c3ac9dbe81615083bb9a028722eebec,"USDC / USD₮0 0.01%",project-x,usd-coin,usdt0,usdt0,183477468506,above,single_subject:cg_mcap,71541,14739883
0x34a4539f9527d20985e3d14e81d8b473015acf9c,"DRV / WHYPE 0.25%",nest,derive,wrapped-hype,derive,145577336,above,single_subject:cg_mcap,67178,3980831
0xce17208bda21f2d84e1a410f8704ac56038a179d,"UPUMP / WHYPE 0.25%",nest,unit-pump,wrapped-hype,unit-pump,1709032873,above,single_subject:cg_mcap,66460,2354261
0xc8e5ee73b80bb3f6c9b5348771de8217abd412e7,"KNTQ / WHYPE 0.25%",nest,kinetiq,wrapped-hype,kinetiq,57021731,below,single_subject:cg_mcap,63206,6487370
0x955dadf7bd49c941b6c5f9c19ee845c656cff85d,"kHYPE / WHYPE 0.023%",hybra-finance-v4,kinetic-staked-hype,wrapped-hype,,,above,both_quote,62200,4456656
0x622e1af501a27a3a9b32b3d4fad8e9f90315191f,"EGG / WHYPE 0.01%",hyperswap-v3,egg-3,wrapped-hype,egg-3,367549,below,single_subject:cg_mcap,58527,26768562
0xc477f349f2912e034eac45bc41ec1f643580db2e,"USOL / WHYPE 0.3%",project-x,unit-solana,wrapped-hype,,,above,both_quote,58143,5945264
0xa4abf3edc4c470675c2dfd01b7e23a81a89cf24e,"UBTC / USDC 0.3%",project-x,unit-bitcoin,usd-coin,,,above,both_quote,56736,5146312
0x467364bd2a633208b4534f5b7ec11d24604546e4,"UBTC / kHYPE 0.3%",project-x,unit-bitcoin,kinetic-staked-hype,,,above,both_quote,52695,2734041
0x5dea7b0545aadc4561cb418976fb6fa8aecd38ea,"CHAMELEON / WHYPE 0.01%",hyperswap-v3,chameleon,wrapped-hype,chameleon,588376,below,single_subject:cg_mcap,50898,14290869
