pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
0x52e65b17fb6e5ba00ed806f37afcd2daa50271ca,"USDG / WETH 0.01%",uniswap-v3-robinhood,global-dollar,weth,,,above,both_quote,597384491,11791589371
0xc73f3cd3fb68288e63f008e08ef69caa0437224e420963c6aeb4526178e87ad9,"STANDARD / WETH 1%",uniswap-v4-robinhood,standard,ethereum,standard,30786058,below,single_subject:cg_mcap,57904746,0
0xf2a0be59ab76b96f957bd5e5b967f2b75e8db269,"PONS / USDG 0.3%",ramses-v3-robinhood,pons,global-dollar,pons,485609093,above,single_subject:cg_mcap,40736282,261966098
0xbac3aa3b91584a53a579b3c999a56756e954e59247e497bad1d25a4334bde551,"WETH / USDG",uniswap-v4-robinhood,ethereum,global-dollar,,,above,both_quote,38891031,392989118
0xc61284332117c3fb23a2a56cceffd07f7af60029,"SPCX / USDG 0.05%",uniswap-v3-robinhood,spacex-robinhood-tokenized-stock,global-dollar,spacex-robinhood-tokenized-stock,12384196,below,single_subject:cg_mcap,22985236,435862591
0xd4eb21209c4d6093f80b5b84f5c45cc093ea14a3,"NVDA / USDG 0.05%",uniswap-v3-robinhood,nvidia-robinhood-tokenized-stock,global-dollar,nvidia-robinhood-tokenized-stock,22436255,below,single_subject:cg_mcap,22523910,750330285
0x69bfaf19c9f377bb306a89aed9f6b07e2c1a8d9a,"USDG / WETH 0.05%",uniswap-v3-robinhood,global-dollar,weth,,,above,both_quote,21460786,493655704
0x16679e2ac1a798865ecf1c1639e67693ddb1c220,"WETH / USDG 0.05%",up-v3,weth,global-dollar,,,above,both_quote,21078726,471778235
0x284ad8d82e1211731799368ebc099e94fdc1405b91576d49618b32478351ba21,"WETH / USDG",uniswap-v4-robinhood,ethereum,global-dollar,,,above,both_quote,18760293,140157309
0xfae65eaa11943f45e83d5b45dc7a7c801c51bfb0,"WETH / USDG 0.01%",ramses-v3-robinhood,weth,global-dollar,,,above,both_quote,18395381,472651975
0xed50bdeea8adc232f159486192a4157281d722ff,"PONS / WETH 0.3%",uniswap-v3-robinhood,pons,weth,pons,485609093,above,single_subject:cg_mcap,16788630,500951705
0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,"WETH / USDG 0.01%",uniswap-v4-robinhood,ethereum,global-dollar,,,above,both_quote,16416249,333191433
0x4be9657ec9002e528f4f17a5c43edc525a07f888f7b180c2afbf75e096c4f38a,"PONS / USDG 0.3%",uniswap-v4-robinhood,pons,global-dollar,pons,485609093,above,single_subject:cg_mcap,15612791,420944560
0x486435a1f76cd58193f854c6e6213cd05fd58d637865d02065ff558b387fa6ea,"PONS / USDG",uniswap-v4-robinhood,pons,global-dollar,pons,485609093,above,single_subject:cg_mcap,10623546,23500719
0xee7d609e8b1d39c901146afbaf39c5a1e202082d,"ZOA / WETH",uniswap-v2-robinhood,,weth,ZOA,4921,below,single_subject:gt_fdv,10534470,20636359
0xc3c9f0171490ef0f4536fe493f3b0ebb5ee0cb5e,"SPCX / WETH 0.05%",uniswap-v3-robinhood,spacex-robinhood-tokenized-stock,weth,spacex-robinhood-tokenized-stock,12384196,below,single_subject:cg_mcap,9235172,87217024
