pool,name,dex,base_id,quote_id,subject_id,subject_cap,bucket,reason,h24,vol_30d
E15MWeg95yTaRFdxE9pwzTQZaonqAaMifvyJbbJkMMHg,"$DIDI / $GRAB",meteora-damm-v2,,,$DIDI,,unknown,gt_fdv_only_above_threshold,5788096874,913840
79rc1gaZXYfQTdpqjXWmZcRvmFhMx5GJRCBMtRAD4ngr,"UNIONPAY / EURI",meteora-damm-v2,,,UNIONPAY,,unknown,gt_fdv_only_above_threshold,1575269002,9193660
4LBo5HKyDxWKDqj1bySktvPqCrafyshqcyuAjnc4qTe8,"MasterCard / EURI",meteora-damm-v2,,,MasterCard,,unknown,gt_fdv_only_above_threshold,1298804471,16823851
EKJHwhNDgU819poBiVL2GLjtwEFgRE83Kuh1Agfxv53B,"REVOLUT / EURI",meteora-damm-v2,,,REVOLUT,,unknown,gt_fdv_only_above_threshold,1239233247,20365748
BhJSFRcXtEgkrHXyKqRMX2WrDq3aHx1NLHdgwFYy1B9A,"Visa / MasterCard",meteora-damm-v2,,,Visa,,unknown,gt_fdv_only_above_threshold,927333617,59810068
2j3cHtiNvzALptHEGAiAfDB3kE1Xng2HzVFrcSRMBJJc,"USMT / AMAN",meteora-damm-v2,,,USMT,,unknown,gt_fdv_only_above_threshold,736927035,70414146
hVpHVE3Vs111spwcyTuJwWzt4uFR5P8PAJnDNZ8zDAy,"MUFG / EURI",meteora-damm-v2,,,MUFG,,unknown,gt_fdv_only_above_threshold,330296215,3807993
g7UbgDaCn2Lg4ApTPNxeDVBtuX6upUWTx7vTSsXSp6X,"Anthropic / SOL",pumpswap,,wrapped-solana,Anthropic,1814691,below,single_subject:gt_fdv,123737020,0
4beWLh91RFFeQNjde2xU84qHQccrkQtmp4HfM8MecwxE,"Claude / SOL",pumpswap,,wrapped-solana,Claude,1655886,below,single_subject:gt_fdv,99135903,79704490
6FYsfPnPARm9g4SRJRVBmowi5NkLv5SGha1oL3kGDaMf,"Anthropic / SOL",pumpswap,,wrapped-solana,Anthropic,159697,below,single_subject:gt_fdv,77166510,0
HQYFSDVtyG3CLiYyBR94GbrMf1DyWrsDESzqetEm3rR,"Anthropic / SOL",pumpswap,,wrapped-solana,Anthropic,1554225,below,single_subject:gt_fdv,71097732,0
3QkF8YiaYDfdxVvUdPuTQt1Socs66f8seQH7ekce6ABY,"TWINE / SOL",pumpswap,,wrapped-solana,TWINE,2067293,below,single_subject:gt_fdv,68063596,6210
58oQChx4yWmvKdwLLZzBi4ChoCc2fqCUWBkwMihLYQo2,"SOL / USDC",raydium,wrapped-solana,usd-coin,,,above,both_quote,65281724,672217139
3J8xKYxkBsdsJJddkdDS48ttJ2b5VzNxvFaksvXCptZa,"Disney / SOL",pumpswap,,wrapped-solana,Disney,2485212,below,single_subject:gt_fdv,59373238,59374014
5ceEzDHPsQFEfqK3gNEhd4AqQk1vW1bpJywae6c5aKyu,"HOOD / SOL",pumpswap,,wrapped-solana,HOOD,581756,below,single_subject:gt_fdv,55214856,51630582
A7rMgAhvhydN1vaaXnVdwuAf7HWw1L4ggGU1svFu8ujc,"USOIL / SOL",pumpswap,,wrapped-solana,USOIL,256460,below,single_subject:gt_fdv,53477778,63469446
PNYTjfdF5A3PaGStXjWjcUfEt1CPPogwUxhFehr2qXK,"EURC / EURI",meteora-damm-v2,,,EURC,,unknown,gt_fdv_only_above_threshold,51861295,127387140
J48gMoHHWPvdp7txPiNX1aD5mv85PSq3h4QAQmBRropJ,"OpenAI / SOL",pumpswap,,wrapped-solana,OpenAI,229458,below,single_subject:gt_fdv,50967358,0
HX7h9oHHk4JKtCHBGV3ZXqfKAbiXeks3xAwFgCisvEsS,"TSLA / SOL",pumpswap,,wrapped-solana,TSLA,333427,below,single_subject:gt_fdv,50928494,42447221
8xERYYyskxvkYaXQfxnMyrUjrJbzBHFDNxq8eS5dZ58U,"Anthropic / SOL",pumpswap,,wrapped-solana,Anthropic,18278667,below,single_subject:gt_fdv,46930700,0
GdTtveTwvwKTMqjFW6tCHpftEx6mR7SH6eDUmp3jF8iQ,"TSLA / SOL",pumpswap,,wrapped-solana,TSLA,3713712,below,single_subject:gt_fdv,46111215,46128519
